Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
heyecanlı,A2,I-type (back),متحمس,Yarın için heyecanlıyım.,أنا متحمس لموضوع غد.
yirmi,A1,E-type (front),عشرون,Yirmi yaşındayım.,أنا في العشرين من عمري.
kızgın,A1,I-type (back),غاضب,Ona kızgınım.,أنا غاضب منه.
kızgın,A1,I-type (back),غاضب,Ona kızgınım.,أنا غاضب منه.
kızgın,A2,I-type (back),غاضب,Ona çok kızgınım.,أنا غاضب منه جداً
susuz,A1,I-type (back),عطشان,Çok susuzum.,أنا عطشان جداً.
ben,A1,E-type (front),أنا,Ben bir öğrenciyim.,أنا طالب.
öğrenci,A1,E-type (front),طالب,İyi bir öğrenciyim.,أنا طالب جيد
sakin,A2,I-type (back),هادئ,Çok sakin bir insanım.,أنا شخص هادئ جداً.
tok,A1,I-type (back),شبعان,Artık tokum.,أنا شبعان الآن.
mutlu,A1,I-type (back),سعيد,Çok mutluyum.,أنا سعيد جداً.
mutlu,A1,I-type (back),سعيد,Çok mutluyum.,أنا سعيد جداً.
üzgün,A1,E-type (front),حزين,Biraz üzgünüm.,أنا حزين قليلاً.
üzgün,A1,E-type (front),حزين,Biraz üzgünüm.,أنا حزين قليلاً.
aç,A1,I-type (back),جائع,Çok açım.,أنا جائع جداً.
anne,A1,E-type (front),أم,Annem çok güzel.,أمي جميلة جداً.
anne,A1,I-type (back),أم,Annem yemek pişiriyor.,أمي تطبخ الطعام.
sigorta,B2,I-type (back),تأمين,Sigorta yaptırdım.,أمنت نفسي
koridor,A2,I-type (back),ممر,Koridorda yürüyorum.,أمشي في الممر.
cadde,A1,I-type (back),شارع,Caddede yürüyorum.,أمشي في الشارع.
boş,A1,I-type (back),فارغ,Oda boş.,أمشي في الزقاق
yürümek,A1,E-type (front),يمشي,Yavaş yürüyorum.,أمشي ببطء.
saç taramak,A1,I-type (back),يمشط الشعر,Her sabah saçımı tarıyorum.,أمشط شعري كل صباح.
yüzme,A1,E-type (front),سباحة,Yüzme sporu yapıyorum.,أمارس رياضة السباحة.
spor,A1,I-type (back),رياضة,Spor yapıyorum.,أمارس الرياضة.
salı,A1,I-type (back),الثلاثاء,Salı günü spor yapıyorum.,أمارس الرياضة يوم الثلاثاء.
egzersiz,A2,E-type (front),تمرين,Egzersiz yapıyorum.,أمارس التمارين.
ağrı,A2,I-type (back),ألم,Şiddetli ağrı,ألم شديد
mide,A2,E-type (front),معدة,Mide ağrısı,ألم المعدة
sırt,A2,I-type (back),ظهر,Sırt ağrısı,ألم الظهر
diz,A2,E-type (front),ركبة,Diz ağrısı,ألم الركبة
boğaz,A2,I-type (back),حلق,Boğaz ağrısı,ألم الحلق
karın,A2,I-type (back),بطن,Karın ağrısı,ألم البطن
dişağrısı,B1,E-type (front),ألم الأسنان,Diş ağrısı çok şiddetli,ألم الأسنان شديد جداً
kulak,A1,I-type (back),أذن,Kulak ağrısı,ألم الأذن
kardeş,A1,E-type (front),أخ/أخت,Kardeşimle oynuyorum.,ألعب مع أخي/أختي.
bilgisayar oyunu,A2,Mixed,لعبة كمبيوتر,Bilgisayar oyunu oynuyorum,ألعب لعبة كمبيوتر
video oyunu,A2,Mixed,لعبة فيديو,Video oyunu oynuyorum,ألعب لعبة فيديو
oyun,A1,I-type (back),لعبة,Oyun oynuyorum,ألعب لعبة
futbol,A1,I-type (back),كرة القدم,Futbol oynuyorum.,ألعب كرة القدم.
fotoğraf,A1,I-type (back),صورة,Fotoğraf çekiyorum.,ألتقط صورة.
restoran,A1,I-type (back),مطعم,Restoranda yemek yedik.,أكلنا في المطعم.
lahmacun,B1,I-type (back),لحم بعجين,Lahmacun yedik.,أكلنا اللحم بعجين.
restoran,A1,I-type (back),مطعم,Restoranda yemek yedim.,أكلت في المطعم.
kantin,A2,I-type (back),كافيتيريا,Kantinde yemek yedim.,أكلت في الكافيتيريا.
meyve,A1,E-type,فاكهة,Taze meyve yedim,أكلت فاكهة طازجة
hafif,A1,I-type (back),خفيف,Hafif bir yemek yedim.,أكلت طعاماً خفيفاً.
elma,A1,I-type (back),تفاح,Kırmızı elma yedim.,أكلت تفاحة حمراء.
hamburger,A2,I-type (back),هامبرغر,Hamburger yedim.,أكلت الهامبرغر.
sebze,A1,E-type (front),خضروات,Sebze yemek sağlıklı.,أكل الخضروات صحي.
nefret etmek,B2,E-type (front),يكره,Yalan söylemekten nefret ederim.,أكره قول الكذب
defter,A1,E-type (front),دفتر,Deftere yazıyorum.,أكتب في الدفتر.
kağıt,A1,I-type (back),ورق,Kağıt üzerine yazıyorum,أكتب على الورق
kağıt,A2,I-type (back),ورق,Kağıda yazıyorum.,أكتب على الورق
rapor,A2,I-type (back),تقرير,Rapor yazıyorum,أكتب تقريراً
rapor,B2,I-type (back),تقرير,Rapor yazıyorum.,أكتب تقريراً
kalem,A1,E-type (front),قلم,Kalemle yazıyorum.,أكتب بالقلم.
kalem,A1,E-type (front),قلم,Kalemle yazıyorum,أكتب بالقلم
otel,A1,I-type (back),فندق,Otelde kalıyorum.,أقيم في الفندق.
otel,A1,E-type (front),فندق,Otelde kalıyorum,أقيم في الفندق
yurt,A2,I-type (back),سكن طلابي,Yurtta kalıyorum.,أقيم في السكن الطلابي.
gezi,A2,E-type (front),رحلة,Şehir gezisi yapıyorum,أقوم برحلة في المدينة
araştırma,B2,I-type (back),بحث,Araştırma yapıyorum.,أقوم ببحث
araba,A1,I-type (back),سيارة,Araba kullanıyorum.,أقود السيارة.
araba,A1,I-type (back),سيارة,Araba kullanıyorum.,أقود السيارة.
motosiklet,A2,E-type (front),دراجة نارية,Motosiklet kullanıyorum.,أقود الدراجة النارية.
motosiklet,B1,I-type (back),دراجة نارية,Motosiklet kullanıyorum.,أقود الدراجة النارية
pansiyon,A2,I-type (back),بيت ضيافة,Pansiyonda konakladık.,أقمنا في بيت الضيافة.
kamp,A2,I-type (back),مخيم,Kampta kaldık.,أقمنا في المخيم.
otel,A1,I-type (back),فندق,Otelde kaldık.,أقمنا في الفندق.
kızartmak,B2,I-type (back),يقلي,Patates kızartıyorum.,أقلي البطاطس
endişelenmek,B2,E-type (front),يقلق,Sınav için endişeleniyorum.,أقلق بشأن الامتحان
uçak,A2,I-type (back),طائرة,Uçak havalandı.,أقلعت الطائرة
kapı,A1,I-type (back),باب,Kapıyı kitledim.,أقفلت الباب
doğramak,B2,I-type (back),يقطع,Soğan doğruyorum.,أقطع البصل
soyulmak,B2,I-type (back),يقشر,Patates soyuyorum.,أقشر البطاطس
kitap,A1,I-type (back),كتاب,Kitap okuyorum.,أقرأ كتاباً.
kütüphane,A2,E-type (front),مكتبة,Kütüphanede kitap okuyorum.,أقرأ كتاباً في المكتبة.
dergi,A2,E-type (front),مجلة,Dergi okuyorum,أقرأ المجلة
gazete,A2,I-type (back),جريدة,Gazete okuyorum,أقرأ الجريدة
gazete,B1,E-type (front),جريدة,Gazete okuyorum.,أقرأ الجريدة
sunum,A2,I-type (back),عرض تقديمي,Sunum yapıyorum,أقدم عرضاً
latte,B1,I-type (back),لاتيه,Latte içmeyi tercih ederim.,أفضل شرب اللاتيه.
gurur duymak,B2,I-type (back),يفتخر,Başarın için gurur duyuyorum.,أفتخر بنجاحك
şarkı,A2,I-type (back),أغنية,Şarkı söylüyorum,أغني أغنية
çaydanlık,A2,I-type (back),إبريق شاي,Çaydanlık kaynatıyorum.,أغلي إبريق الشاي.
haşlamak,B2,I-type (back),يغلي,Yumurta haşlıyorum.,أغلي البيض
ağız,A1,I-type (back),فم,Ağzını kapat.,أغلق فمك
pencere,A1,E-type (front),نافذة,Pencereyi kapat.,أغلق النافذة.
lavabo,B1,I-type (back),حوض,Lavaboda ellerimi yıkıyorum.,أغسل يدي في الحوض
deterjan,B2,I-type (back),منظف,Deterjanla bulaşık yıkıyorum.,أغسل الصحون بالمنظف
yıkamak,A2,I-type (back),يغسل,Sebzeleri yıkıyorum.,أغسل الخضار
banyo,A1,I-type (back),حمام,Banyoda yıkanıyorum.,أغتسل في الحمام.
banyo,A1,I-type (back),حمام,Banyoda yıkanıyorum,أغتسل في الحمام
dar,A1,I-type (back),ضيق,Dar bir sokakta yaşıyorum.,أعيش في زقاق ضيق.
yabancı,B1,I-type (back),غريب/أجنبي,Yabancı bir ülkede yaşıyorum.,أعيش في بلد أجنبي
şehir,A1,E-type (front),مدينة,Şehirde yaşıyorum.,أعيش في المدينة.
apartman,A1,I-type (back),شقة,Apartmanda yaşıyorum.,أعيش في الشقة.
mahalle,A1,I-type (back),حي,Mahallede yaşıyorum.,أعيش في الحي.
akşam,A1,I-type (back),مساء,Akşam eve dönüyorum.,أعود للبيت في المساء.
ödev,A1,I-type (back),واجب منزلي,Ödevimi yapıyorum.,أعمل واجبي المنزلي.
gündüz,A1,E-type (front),نهار,Gündüz çalışıyorum.,أعمل في النهار.
gündüz,A2,E-type (front),نهار,Gündüz çalışıyorum,أعمل في النهار
ofis,A2,E-type (front),مكتب,Ofiste çalışıyorum,أعمل في المكتب
bilgisayar,A1,I-type (back),حاسوب,Bilgisayarda çalışıyorum.,أعمل على الحاسوب.
parti,A2,I-type (back),حفلة,Doğum günü partisi yapıyorum,أعمل حفلة عيد ميلاد
bilgisayar,A2,I-type (back),كمبيوتر,Bilgisayarla çalışıyorum,أعمل بالكمبيوتر
bugün,A1,E-type (front),اليوم,Bugün çalışıyorum,أعمل اليوم
tava,A2,I-type (back),مقلاة,Tavada omlet yapıyorum.,أعمل العجة في المقلاة
şimdi,A1,E-type (front),الآن,Şimdi çalışıyorum.,أعمل الآن.
proje,B1,I-type (back),مشروع,Proje hazırladım.,أعددت مشروعاً
araştırma,B2,I-type (back),بحث,Araştırma projesi hazırladım.,أعددت مشروع بحث
sunum,B2,I-type (back),عرض تقديمي,Sunum hazırladım.,أعددت عرضاً تقديمياً
pasaport,A2,I-type (back),جواز سفر,Pasaportumu hazırladım,أعددت جواز سفري
dosya,A2,I-type (back),ملف,Dosyayı hazırladım,أعددت الملف
köprü,A2,E-type (front),جسر,Köprüden geçiyorum,أعبر من الجسر
itfaiye,A2,E-type (front),إطفاء,İtfaiye yangını söndürdü.,أطفأت الإطفاء الحريق.
et,A1,E-type (front),لحم,Et pişiriyorum.,أطبخ اللحم.
mutfak,A1,I-type (back),مطبخ,Mutfakta yemek pişiriyorum.,أطبخ الطعام في المطبخ.
tencere,B1,E-type (front),قدر,Tencerede yemek pişiriyor.,أطبخ الطعام في القدر
ocak,B1,I-type (back),موقد,Ocakta yemek pişiriyorum.,أطبخ الطعام على الموقد
pişirmek,B1,E-type (front),يطبخ,Yemek pişiriyorum.,أطبخ الطعام
worcester sos,B2,Mixed,صوص ووستر,Worcester sos ekledim.,أضفت صوص ووستر.
mayonez,A2,E-type (front),مايونيز,Mayonez ekledim.,أضفت المايونيز.
karabiber,A2,Mixed,فلفل أسود,Karabiber ekledim.,أضفت الفلفل الأسود.
dereotu,A2,I-type (back),شبت,Dereotu ekledim.,أضفت الشبت.
maya,B2,I-type (back),خميرة,Maya ekledim.,أضفت الخميرة
sirke,A2,E-type (front),خل,Salataya sirke ekledim.,أضفت الخل للسلطة.
tuz,A1,I-type (back),ملح,Yemeğe tuz ekle.,أضف ملحاً للطعام
şeker,A1,E-type (front),سكر,Şeker ekle.,أضف السكر.
şeker,A1,E-type (front),سكر,Şeker ekle.,أضف السكر.
kamera,A2,I-type (back),كاميرا,Kamerayla çekim yapıyorum.,أصور بالكاميرا.
bisiklet,A2,E-type (front),دراجة هوائية,Bisikletimi tamirdeyim.,أصلح دراجتي الهوائية
süzmek,B2,E-type (front),يصفي,Makarnayı süzüyorum.,أصفي المعكرونة
asansör,A2,I-type (back),مصعد,Asansörle çıkıyorum.,أصعد بالمصعد.
hakim,B2,I-type (back),قاضي,Hakim karar verdi.,أصدر القاضي القرار.
yaprak,B1,I-type (back),ورقة,Yaprak sarı oldu.,أصبحت الورقة صفراء.
yaprak,A1,I-type (back),ورقة,Yapraklar sarı oldu.,أصبحت الأوراق صفراء.
yaprak,A1,I-type (back),ورقة,Yapraklar sarı oldu.,أصبحت الأوراق صفراء.
nezle,A2,E-type (front),زكام,Nezle oldum.,أصبت بالزكام.
grip,A2,E-type (front),إنفلونزا,Grip oldum.,أصبت بالإنفلونزا.
grip,A2,E-type (front),إنفلونزا,Grip oldum,أصبت بالإنفلونزا
lamba,A1,I-type (back),مصباح,Lambayı aç.,أشعل المصباح.
mutlu,A2,I-type (back),سعيد,Çok mutlu hissediyorum.,أشعر بسعادة كبيرة
hasta,A1,I-type (back),مريض,Hasta hissediyorum.,أشعر بالمرض.
acı,A2,I-type (back),ألم,Acı hissediyorum,أشعر بالألم
aromalı su,B1,Mixed,ماء منكه,Aromalı su içiyorum.,أشرب الماء المنكه.
kahve,A1,E-type (front),قهوة,Sabah kahve içerim.,أشرب القهوة في الصباح.
balkon,A1,I-type (back),شرفة,Balkonda kahve içiyorum.,أشرب القهوة في الشرفة.
çorba,A1,I-type (back),شوربة,Çorba içiyorum.,أشرب الشوربة.
çay,A1,I-type (back),شاي,Sıcak çay içiyorum.,أشرب الشاي الساخن.
süt,A1,E-type (front),حليب,Süt içiyorum.,أشرب الحليب.
süt,A1,E-type (front),حليب,Süt içiyorum.,أشرب الحليب.
fakir,A2,E-type (front),فقير,Fakir insanlar,أشخاص فقراء
şarj,A2,I-type (back),شحن,Telefonumu şarj ediyorum.,أشحن هاتفي.
şarj,A2,I-type (back),شحن,Telefonu şarj ediyorum.,أشحن الهاتف.
koyu,A2,I-type (back),غامق,Koyu yeşil ağaçlar.,أشجار خضراء غامقة
laptop,B1,I-type (back),حاسوب محمول,Laptop alıyorum.,أشتري حاسوباً محمولاً.
bar,A2,I-type (back),بار,Bardan içki alıyorum,أشتري المشروبات من البار
benzin,A2,E-type (front),بنزين,Benzin alıyorum,أشتري البنزين
özlemek,A2,I-type (back),يشتاق,Ailemi özlüyorum.,أشتاق لعائلتي.
özlemek,B1,I-type (back),يشتاق,Ailemi özlüyorum.,أشتاق لعائلتي
video,A2,E-type (front),فيديو,Video izliyorum.,أشاهد فيديو.
video,A2,E-type (front),فيديو,Video izliyorum.,أشاهد فيديو.
televizyon,A1,I-type (back),تلفزيون,Televizyon izliyorum.,أشاهد التلفزيون.
televizyon,A2,E-type (front),تلفزيون,Televizyon izliyorum.,أشاهد التلفزيون.
oturma odası,A1,I-type (back),غرفة جلوس,Oturma odasında televizyon izliyorum.,أشاهد التلفزيون في غرفة الجلوس.
televizyon,A1,E-type (front),تلفزيون,Televizyon seyrediyorum,أشاهد التلفزيون
televizyon,A2,I-type (back),تلفزيون,Televizyon seyrediyorum.,أشاهد التلفزيون
toplantı,A2,I-type (back),اجتماع,Toplantıya katılıyorum,أشارك في الاجتماع
davul,A2,I-type (back),طبل,Davul sesini duyuyorum.,أسمع صوت الطبل.
kat,A1,I-type (back),طابق,Üçüncü katta oturuyorum.,أسكن في الطابق الثالث.
silindir,B2,E-type,أسطوانة,Metal silindir,أسطوانة معدنية
aslan,A1,I-type,أسد,Güçlü aslan,أسد قوي
müzik,A2,E-type (front),موسيقى,Müzik dinliyorum.,أستمع إلى الموسيقى
radyo,A2,I-type (back),راديو,Radyo dinliyorum.,أستمع إلى الراديو.
piyano,A2,I-type (back),بيانو,Piyano çalabiliyorum.,أستطيع العزف على البيانو.
pazar,A1,I-type (back),الأحد,Pazar günü dinleniyorum.,أستريح يوم الأحد.
teras,A2,I-type (back),تراس,Terasta dinleniyorum.,أستريح في التراس.
sosyal medya,A2,I-type (back),وسائل التواصل الاجتماعي,Sosyal medya kullanıyorum.,أستخدم وسائل التواصل الاجتماعي.
ince,A2,E-type (front),رفيع,İnce bir kalem kullanıyorum.,أستخدم قلماً رفيعاً.
şampuan,A2,I-type (back),شامبو,Şampuan kullanıyorum.,أستخدم شامبو.
cetvel,A1,E-type (front),مسطرة,Cetvel kullanıyorum.,أستخدم المسطرة.
cetvel,B1,E-type (front),مسطرة,Cetvel kullanyorum.,أستخدم المسطرة
margarin,B1,I-type (back),مارغارين,Margarin kullanıyorum.,أستخدم المارغارين.
yağ,A1,I-type (back),زيت,Yemek pişirmek için yağ kullanıyorum.,أستخدم الزيت لطبخ الطعام.
tablet,B1,I-type (back),جهاز لوحي,Tablet kullanıyorum.,أستخدم الجهاز اللوحي.
internet,A1,E-type (front),إنترنت,İnterneti kullanıyorum.,أستخدم الإنترنت.
küvet,B2,E-type (front),حوض استحمام,Küvette yıkanıyorum.,أستحم في حوض الاستحمام
duş,A2,E-type (front),دوش,Duş alıyorum,أستحم
duş,A2,I-type (back),دش,Duş alıyorum.,أستحم
havuz,A1,I-type (back),مسبح,Havuzda yüzüyorum.,أسبح في المسبح.
tren,A1,E-type (front),قطار,Trenle seyahat ediyorum.,أسافر بالقطار.
tren,A1,E-type (front),قطار,Trenle seyahat ediyorum.,أسافر بالقطار.
websitesi,A2,E-type (front),موقع إلكتروني,Websitesini ziyaret ediyorum.,أزور موقعه الإلكتروني.
açık,A1,I-type,فاتح,Açık mavi,أزرق فاتح
koltuk,A1,I-type (back),أريكة,Deri koltuk,أريكة جلدية
bardak,A1,I-type (back),كأس,Su bardağı istiyorum.,أريد كأس ماء.
geniş,A1,E-type (front),واسع,Geniş bir oda istiyorum.,أريد غرفة واسعة.
temiz,A1,E-type (front),نظيف,Temiz bir oda istiyorum.,أريد غرفة نظيفة.
buzlu,A2,I-type (back),مثلج,Buzlu çay istiyorum,أريد شاياً مثلجاً
büyük,A1,E-type (front),كبير,Büyük bir araba istiyorum.,أريد سيارة كبيرة.
hızlı,A1,I-type (back),سريع,Hızlı bir araba istiyorum.,أريد سيارة سريعة.
büyük,A1,E-type (front),كبير,Büyük bir ev istiyorum.,أريد بيتاً كبيراً.
küçük,A1,E-type (front),صغير,Küçük bir ev istiyorum.,أريد بيتاً صغيراً.
yemek,A1,E-type (front),يأكل,Ekmek yemek istiyorum.,أريد أن آكل الخبز.
ekmek,A1,E-type (front),خبز,Ekmek yemek istiyorum.,أريد أن آكل الخبز.
uyumak,A1,I-type (back),ينام,Erken uyumak istiyorum.,أريد أن أنام مبكراً.
voleybol,B1,I-type (back),كرة الطائرة,Voleybol oynamak istiyorum.,أريد أن ألعب كرة الطائرة
olmak,A1,I-type (back),يكون,Doktor olmak istiyorum.,أريد أن أكون طبيباً.
araba,A1,I-type (back),سيارة,Araba sürmek istiyorum.,أريد أن أقود السيارة.
su,A1,I-type (back),ماء,Su içmek istiyorum.,أريد أن أشرب الماء.
su,A1,I-type (back),ماء,Su içmek istiyorum.,أريد أن أشرب الماء.
su,A1,I-type (back),ماء,Su içmek istiyorum.,أريد أن أشرب الماء.
çay,A1,I-type (back),شاي,Çay içmek istiyorum.,أريد أن أشرب الشاي.
çay,A1,I-type (back),شاي,Çay içmek istiyorum.,أريد أن أشرب الشاي.
almak,A1,I-type (back),يشتري,Ekmek almak istiyorum.,أريد أن أشتري الخبز
yatırım,B2,I-type (back),استثمار,Yatırım yapmak istiyorum.,أريد أن أستثمر
yüzmek,A2,E-type (front),يسبح,Denizde yüzmek istiyorum.,أريد أن أسبح في البحر
görmek,A1,I-type (back),يرى,Seni görmek istiyorum.,أريد أن أراك.
gitmek,A1,E-type (front),يذهب,Okula gitmek istiyorum.,أريد أن أذهب إلى المدرسة.
nakit,B1,I-type (back),نقد,Nakit ödemek istiyorum.,أريد أن أدفع نقداً
macchiato,B2,I-type (back),ماكياتو,Macchiato denemek istiyorum.,أريد أن أجرب الماكياتو.
satmak,A2,I-type (back),يبيع,Araba satmak istiyorum.,أريد أن أبيع السيارة
ketçap,A1,I-type (back),كاتشب,Ketçap istiyorum.,أريد الكاتشب.
tavşan,A2,I-type,أرنب,Beyaz tavşan,أرنب أبيض
bisiklet,A1,E-type (front),دراجة هوائية,Bisiklet sürüyorum.,أركب الدراجة الهوائية.
bisiklet,A1,E-type (front),دراجة هوائية,Bisiklet sürüyorum.,أركب الدراجة الهوائية.
zemin,B1,E-type (front),أرضية,Ahşap zemin,أرضية خشبية
kurşun kalem,A2,I-type (back),قلم رصاص,Kurşun kalemle çiziyorum.,أرسم بالقلم الرصاص
faks,B1,I-type (back),فاكس,Faks gönderdim.,أرسلت فاكساً
postane,A2,I-type (back),مكتب بريد,Postaneden mektup gönderdim.,أرسلت رسالة من مكتب البريد.
e-posta,B1,Mixed,بريد إلكتروني,E-posta gönderdim.,أرسلت بريداً إلكترونياً.
e-posta,B1,E-type (front),بريد إلكتروني,E-posta gönderdim.,أرسلت بريداً إلكترونياً.
e-posta,A2,I-type (back),بريد إلكتروني,E-posta gönderiyorum.,أرسل بريداً إلكترونياً.
e-posta,A2,I-type (back),بريد إلكتروني,E-posta gönderiyorum,أرسل بريداً إلكترونياً
gömlek,A1,I-type (back),قميص,Beyaz gömlek giyiyorum.,أرتدي قميصاً أبيض.
gömlek,A2,I-type (back),قميص,Beyaz gömlek giyiyorum.,أرتدي قميصاً أبيض
şapka,A1,I-type (back),قبعة,Başımda şapka var.,أرتدي قبعة على رأسي.
şapka,A1,I-type (back),قبعة,Başımdaki şapka var.,أرتدي قبعة على رأسي.
ayakkabı,A1,I-type (back),حذاء,Ayakkabılarımı giyiyorum.,أرتدي حذائي.
ayakkabı,A1,I-type (back),حذاء,Ayakkabılarımı giyiyorum.,أرتدي حذائي.
tişört,A2,E-type (front),تيشيرت,Rahat tişört giyiyorum.,أرتدي تيشيرت مريح
pantolon,A1,I-type (back),بنطلون,Mavi pantolon giyiyorum.,أرتدي بنطلوناً أزرق.
ceket,A1,E-type (front),سترة,Ceket giyiyorum.,أرتدي السترة.
kanepe,B1,E-type (front),أريكة,Kanepede dinleniyorum.,أرتاح على الأريكة
pazartesi,A1,I-type (back),الاثنين,Pazartesi işe gidiyorum.,أذهب للعمل يوم الاثنين.
metro,A1,E-type (front),مترو,Metroyla işe gidiyorum.,أذهب للعمل بالمترو.
metro,A1,E-type (front),مترو,Metroyla işe gidiyorum.,أذهب للعمل بالمترو.
cuma,A1,I-type (back),الجمعة,Cuma namazına gidiyorum.,أذهب لصلاة الجمعة.
tatil,A1,I-type (back),عطلة,Tatile gidiyorum,أذهب في عطلة
tatil,A1,I-type (back),عطلة,Tatile çıkıyorum,أذهب في عطلة
metro,A2,E-type (front),مترو,Metroyla gidiyorum.,أذهب بالمترو
uçak,A1,I-type (back),طائرة,Uçakla gidiyorum.,أذهب بالطائرة.
uçak,A1,I-type (back),طائرة,Uçakla gidiyorum.,أذهب بالطائرة.
scooter,B1,E-type (front),سكوتر,Scooter ile gidiyorum.,أذهب بالسكوتر.
kurs,B1,I-type (back),دورة,İngilizce kursuna gidiyorum.,أذهب إلى دورة الإنجليزية
kulüp,A2,E-type (front),نادي,Gece kulübüne gidiyorum,أذهب إلى النادي الليلي
ofis,A2,I-type (back),مكتب,Ofise gidiyorum.,أذهب إلى المكتب
havaalanı,A2,I-type (back),مطار,Havaalanına gidiyorum,أذهب إلى المطار
cami,B1,I-type (back),مسجد,Camiye gidiyorum.,أذهب إلى المسجد
okul,A1,I-type (back),مدرسة,Okula gidiyorum.,أذهب إلى المدرسة.
okul,A1,I-type (back),مدرسة,Okula gidiyorum.,أذهب إلى المدرسة.
okul,A1,I-type (back),مدرسة,Okula gidiyorum.,أذهب إلى المدرسة.
bisiklet,B1,E-type (front),دراجة هوائية,Bisikletle okula gidiyorum.,أذهب إلى المدرسة بالدراجة الهوائية
iş,A1,E-type (front),عمل,İşe gidiyorum,أذهب إلى العمل
banka,A2,I-type (back),بنك,Bankaya gidiyorum.,أذهب إلى البنك
banka,A2,I-type (back),بنك,Bankaya gidiyorum.,أذهب إلى البنك
şimdi,A1,E-type (front),الآن,Şimdi gidiyorum,أذهب الآن
kulak,A1,I-type (back),أذن,Kulağım duymyor.,أذني لا تسمع
kulak,A1,I-type (back),أذن,Kulağım ağrıyor.,أذني تؤلمني.
çalışma odası,A2,I-type (back),مكتب,Çalışma odasında ders çalışıyorum.,أذاكر في المكتب.
defter,A1,E-type (front),دفتر,Deftere not alıyorum,أدون ملاحظات في الدفتر
oy,B1,I-type (back),صوت,Oyumu verdim.,أدليت بصوتي.
sınav,A2,I-type (back),امتحان,Sınav için çalışıyorum.,أدرس للامتحان
fakülte,B1,E-type (front),كلية,Tıp fakültesinde okuyorum.,أدرس في كلية الطب
hukuk,C1,I-type (back),قانون,Hukuk fakültesinde okuyorum.,أدرس في كلية الحقوق.
üniversite,A2,E-type (front),جامعة,Üniversitede okuyorum.,أدرس في الجامعة
kullanıcı adı,B1,Mixed,اسم مستخدم,Kullanıcı adı girdim.,أدخلت اسم المستخدم.
sınıf,A1,I-type (back),فصل,Sınıfa giriyorum.,أدخل إلى الفصل
iş,A1,E-type (front),عمل,İş yapmak,أداء العمل
kardeş,A1,E-type (front),أخ/أخت,Kardeşim benimle geliyor,أخي/أختي يأتي معي
abi,A1,I-type (back),أخ كبير,Abim üniversitede.,أخي الكبير في الجامعة.
ağabey,A2,I-type (back),أخ كبير,Ağabeyim üniversitede,أخي الكبير في الجامعة
abi,A2,I-type (back),أخ أكبر,Abim üniversitede okuyor.,أخي الأكبر يدرس في الجامعة
mayalamak,C1,I-type (back),يخمر,Hamuru mayalıyorum.,أخمر العجين
ahtapot,B2,I-type,أخطبوط,Sekiz kollu ahtapot,أخطبوط ثماني الأذرع
koyu,A1,I-type,غامق,Koyu yeşil,أخضر غامق
kaşık,A2,I-type (back),ملعقة,Çorba kaşığı aldım.,أخذت ملعقة الشوربة
çanta,A2,I-type (back),حقيبة,Çantamı aldım.,أخذت حقيبتي
kepçe,A2,E-type (front),مغرفة,Kepçe ile aldım.,أخذت بالمغرفة.
kaşık,A1,I-type (back),ملعقة,Kaşık aldım.,أخذت الملعقة.
kız kardeş,A2,Mixed,أخت,Kız kardeşim küçük,أختي صغيرة
abla,A2,I-type (back),أخت كبيرة,Ablam öğretmen,أختي الكبيرة معلمة
abla,A1,I-type (back),أخت كبيرة,Ablam çok güzel.,أختي الكبيرة جميلة جداً.
abla,A2,I-type (back),أخت كبرى,Ablam çok güzel.,أختي الكبرى جميلة جداً
görümce,A2,E-type (front),أخت الزوج,Görümcem çok nazik,أخت زوجي لطيفة جداً
baldız,A2,I-type (back),أخت الزوجة,Baldızım öğrenci,أخت زوجتي طالبة
fırın,B1,I-type (back),فرن,Fırında kek pişiriyorum.,أخبز كعكة في الفرن
fırınlamak,B2,I-type (back),يخبز في الفرن,Kek fırınlıyorum.,أخبز الكعك في الفرن
korkmak,A2,I-type (back),يخاف,Karanlıktan korkuyorum.,أخاف من الظلام
kazak,B1,I-type (back),كنزة,Yünlü kazak örüyorum.,أحيك كنزة صوفية
ağır,A1,I-type (back),ثقيل,Ağır bir çanta taşıyorum.,أحمل حقيبة ثقيلة.
indirmek,B1,E-type (front),يحمل,Dosyayı indiriyorum.,أحمل الملف.
kavurmak,B2,I-type (back),يحمص/يقلي,Et kavuruyorum.,أحمص اللحم
hayal kurmak,B2,I-type (back),يحلم,Gelecek için hayal kuruyorum.,أحلم بالمستقبل
bavul,A2,I-type (back),حقيبة سفر,Bavulumu hazırlıyorum,أحضر حقيبة سفري
karıştırmak,B1,I-type (back),يخلط/يحرك,Çorbayı karıştırıyorum.,أحرك الشوربة
enişte,A2,E-type (front),زوج الأخت,Enişteme saygı duyuyorum,أحترم زوج أختي
sevmek,A1,E-type (front),يحب,Seni seviyorum.,أحبك.
sevmek,A1,E-type (front),يحب,Seni çok seviyorum.,أحبك كثيراً
sevmek,A2,E-type (front),يحب,Seni seviyorum.,أحبك
şarkı,A2,I-type (back),أغنية,Bu şarkıyı seviyorum.,أحب هذه الأغنية
spor,A2,I-type (back),رياضة,Spor yapmayı seviyorum.,أحب ممارسة الرياضة
